CAS,IDEAL,INCINERATION,NAICS,CONCENTRATION,EFFICIENCY ESTIMATION,WASTE,EFFICIENCY RANGE
000118741,YES,YES,325212,3,99.99,S,E3
007664939,,NO,221112,3,97.0,A,E4
000141322,,NO,325211,2,97.0,A,E4
007697372,,NO,334412,3,99.0,W,E4
000095636,,NO,336111,3,0.0,A,E6
007440508,,NO,336399,3,98.3,W,E4
N511,,NO,562211,3,0.0,W,E6
000095636,,NO,424710,1,98.86,A,E4
000092671,YES,YES,325110,1,99.0,L,E4
007440020,,NO,332313,4,33.0,W,E6
007440508,,NO,332813,3,99.0,W,E4
000071363,YES,YES,321999,1,98.2,A,E4
N450,,NO,221112,3,99.0,A,E4
N982,,NO,332813,3,0.99,W,E6
000108952,,NO,322130,4,100.0,W,E1
000075058,YES,YES,424690,1,99.0,A,E4
N090,,NO,331221,2,0.99,A,E6
007697372,,NO,311511,3,99.0,W,E4
N982,,NO,326211,3,99.5,A,E3
000075569,YES,YES,325199,1,98.0,A,E4
000050000,,NO,311221,4,96.0,W,E4
000120821,NO,YES,562211,1,99.99,S,E3
000071432,NO,YES,562211,1,99.99,S,E3
001330207,NO,YES,325211,3,100.0,A,E1
001330207,,NO,424710,1,99.67,A,E3
000071556,,NO,325188,1,85.0,A,E5
000100414,YES,YES,324110,2,98.8,A,E4
N495,,NO,326199,3,95.0,A,E5
N100,,NO,331492,4,99.9,A,E3
N420,,NO,335912,2,0.0,S,E6
007429905,,NO,336350,5,50.0,S,E6
000115071,YES,YES,325211,1,99.0,A,E4
000107211,,NO,322122,5,99.0,W,E4
000110543,YES,YES,424710,2,0.99,A,E6
000078933,YES,YES,327310,1,0.0,L,E6
000115071,,NO,325212,1,99.99,A,E3
000075445,,NO,325199,4,99.0,A,E4
055406536,,NO,325510,3,98.0,S,E4
007440508,,NO,336412,3,99.0,A,E4
007647010,,NO,221112,2,90.0,A,E5
N982,,NO,331111,2,99.0,A,E4
N982,,NO,221112,4,99.5,A,E3
000067561,,NO,325199,3,20.0,W,E6
007664417,,NO,221112,3,90.0,A,E5
007440020,,NO,331111,1,99.7,A,E3
N100,,NO,331411,3,95.0,A,E5
000075694,NO,YES,562211,2,99.99,S,E3
007439965,,NO,336312,1,81.0,A,E5
N040,,NO,221112,3,99.5,A,E3
N090,,NO,327122,3,80.0,W,E5
007440020,,NO,335314,3,99.0,W,E4
N090,,NO,332813,3,99.5,W,E3
007782505,,NO,334119,3,99.9,A,E3
000108883,YES,YES,336399,2,95.0,A,E5
007439965,,NO,332991,2,99.0,A,E4
007697372,,NO,336111,1,100.0,W,E1
002312358,,NO,325199,4,0.0,W,E6
000071432,YES,YES,325110,1,99.5,A,E3
000108883,,NO,424710,4,99.0,W,E4
007440020,,NO,332919,3,50.0,W,E6
007440508,,NO,331513,4,99.5,W,E3
007664393,,NO,221112,3,34.0,A,E6
000078933,YES,YES,337920,2,99.5,A,E3
007647010,,NO,334413,3,90.0,A,E5
007664939,,NO,221112,3,43.0,A,E6
N495,,NO,221112,4,98.94,A,E4
000110543,,NO,424710,2,0.0,W,E6
000095636,,NO,325510,4,0.0,A,E6
N511,,NO,334413,3,0.0,W,E6
007697372,,NO,334412,3,100.0,W,E1
007440020,,NO,331111,1,99.0,A,E4
N511,,NO,332813,2,0.8,W,E6
N120,,NO,326150,1,97.0,L,E4
000108883,NO,YES,562211,1,99.99,L,E3
007440508,,NO,332212,2,98.0,W,E4
N511,,NO,313311,3,98.19,W,E4
N090,,NO,331111,2,99.0,A,E4
007440484,,NO,331423,3,98.1,W,E4
000117817,,NO,326112,2,99.86,A,E3
N050,,NO,221112,4,99.21,A,E3
007440508,,NO,331312,5,20.0,W,E6
000084742,YES,YES,928110,1,100.0,L,E1
N982,,NO,325991,2,99.5,A,E3
N495,,NO,336112,3,90.0,W,E5
N495,,NO,221112,4,90.0,A,E5
007647010,,NO,331492,1,100.0,W,E1
